ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
GON4L	gon-4 like(GON4L)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0030183~B cell differentiation,GO:0045892~negative regulation of transcription, DNA-templated,	GO:0005634~nucleus,	GO:0003677~DNA binding,GO:0003714~transcription corepressor activity,	IPR003822:Paired amphipathic helix,IPR009057:Homeodomain-like,IPR017877:Myb-like domain,					Alternative splicing,Complete proteome,Isopeptide bond,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,	chain:GON-4-like protein,chain:YY1-associated protein 1,compositionally biased region:Asp-rich,compositionally biased region:Glu-rich,compositionally biased region:Poly-Lys,compositionally biased region:Poly-Pro,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),domain:Myb-like,modified residue,repeat:PAH 1,repeat:PAH 2,sequence conflict,sequence variant,splice variant,
HDAC2	histone deacetylase 2(HDAC2)	Homo sapiens		h_carm-erPathway:CARM1 and Regulation of the Estrogen Receptor,h_etsPathway:METS affect on Macrophage Differentiation,h_mef2dPathway:Role of MEF2D in T-cell Apoptosis,h_prc2Pathway:The PRC2 Complex Sets Long-term Gene Silencing Through Modification of Histone Tails,	Chromatin structure and dynamics / Secondary metabolites biosynthesis, transport, and catabolism,	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001975~response to amphetamine,GO:0003300~cardiac muscle hypertrophy,GO:0006338~chromatin remodeling,GO:0006344~maintenance of chromatin silencing,GO:0006351~transcription, DNA-templated,GO:0007596~blood coagulation,GO:0008284~positive regulation of cell proliferation,GO:0009913~epidermal cell differentiation,GO:0010718~positive regulation of epithelial to mesenchymal transition,GO:0010870~positive regulation of receptor biosynthetic process,GO:0010977~negative regulation of neuron projection development,GO:0016358~dendrite development,GO:0016575~histone deacetylation,GO:0031000~response to caffeine,GO:0032496~response to lipopolysaccharide,GO:0032732~positive regulation of interleukin-1 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0032922~circadian regulation of gene expression,GO:0032967~positive regulation of collagen biosynthetic process,GO:0034605~cellular response to heat,GO:0035094~response to nicotine,GO:0042220~response to cocaine,GO:0042475~odontogenesis of dentin-containing tooth,GO:0042493~response to drug,GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein,GO:0042733~embryonic digit morphogenesis,GO:0043044~ATP-dependent chromatin remodeling,GO:0043066~negative regulation of apoptotic process,GO:0043392~negative regulation of DNA binding,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0045347~negative regulation of MHC class II biosynthetic process,GO:0045862~positive regulation of proteolysis,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048149~behavioral response to ethanol,GO:0048714~positive regulation of oligodendrocyte differentiation,GO:0055093~response to hyperoxia,GO:0060789~hair follicle placode formation,GO:0061000~negative regulation of dendritic spine development,GO:0061029~eyelid development in camera-type eye,GO:0061198~fungiform papilla formation,GO:0070301~cellular response to hydrogen peroxide,GO:0070932~histone H3 deacetylation,GO:0070933~histone H4 deacetylation,GO:0071300~cellular response to retinoic acid,GO:0071560~cellular response to transforming growth factor beta stimulus,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1903351~cellular response to dopamine,GO:2000757~negative regulation of peptidyl-lysine acetylation,	GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016021~integral component of membrane,GO:0016580~Sin3 complex,GO:0016581~NuRD complex,GO:0035098~ESC/E(Z) complex,GO:0043234~protein complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000980~RNA polymerase II distal enhancer sequence-specific DNA binding,GO:0001047~core promoter binding,GO:0001103~RNA polymerase II repressing transcription factor binding,GO:0003682~chromatin binding,GO:0004407~histone deacetylase activity,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0019213~deacetylase activity,GO:0019899~enzyme binding,GO:0031072~heat shock protein binding,GO:0031492~nucleosomal DNA binding,GO:0032041~NAD-dependent histone deacetylase activity (H3-K14 specific),GO:0033558~protein deacetylase activity,GO:0043565~sequence-specific DNA binding,GO:0044822~poly(A) RNA binding,GO:0051059~NF-kappaB binding,	IPR000286:Histone deacetylase superfamily,IPR003084:Histone deacetylase,IPR023801:Histone deacetylase domain,	hsa04110:Cell cycle,hsa04330:Notch signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa05016:Huntington's disease,hsa05034:Alcoholism,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05203:Viral carcinogenesis,hsa05220:Chronic myeloid leukemia,		PIRSF037913:histone deacetylase class I, eukaryotic type,		3D-structure,Acetylation,Alternative splicing,Biological rhythms,Chromatin regulator,Complete proteome,Cytoplasm,Hydrolase,Isopeptide bond,Membrane,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repressor,S-nitrosylation,Transcription,Transcription regulation,Transmembrane,Transmembrane helix,Ubl conjugation,	chain:Histone deacetylase 2,compositionally biased region:Poly-Gly,modified residue,region of interest:Histone deacetylase,sequence conflict,sequence variant,splice variant,
KDM5C	lysine demethylase 5C(KDM5C)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0034720~histone H3-K4 demethylation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0048511~rhythmic process,GO:0055114~oxidation-reduction process,	GO:0005634~nucleus,GO:0005654~nucleoplasm,	GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0016706~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors,GO:0032452~histone demethylase activity,GO:0032453~histone demethylase activity (H3-K4 specific),	IPR001606:ARID/BRIGHT DNA-binding domain,IPR001965:Zinc finger, PHD-type,IPR003347:JmjC domain,IPR003349:Transcription factor jumonji, JmjN,IPR004198:Zinc finger, C5HC2-type,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR013637:Lysine-specific demethylase-like domain,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,		300534~Mental retardation, X-linked, syndromic, Claes-Jensen type,		SM00249:PHD,SM00501:BRIGHT,SM00545:JmjN,SM00558:JmjC,	3D-structure,Alternative splicing,Biological rhythms,Chromatin regulator,Complete proteome,Dioxygenase,Disease mutation,Iron,Mental retardation,Metal-binding,Nucleus,Oxidoreductase,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Lysine-specific demethylase 5C,domain:ARID,domain:JmjC,domain:JmjN,helix,modified residue,mutagenesis site,sequence conflict,sequence variant,splice variant,turn,zinc finger region:PHD-type 1,zinc finger region:PHD-type 2,
KDM6A	lysine demethylase 6A(KDM6A)	Homo sapiens				GO:0001701~in utero embryonic development,GO:0001843~neural tube closure,GO:0003007~heart morphogenesis,GO:0003016~respiratory system process,GO:0010628~positive regulation of gene expression,GO:0032525~somite rostral/caudal axis specification,GO:0035264~multicellular organism growth,GO:0048333~mesodermal cell differentiation,GO:0048570~notochord morphogenesis,GO:0051568~histone H3-K4 methylation,GO:0055114~oxidation-reduction process,GO:0060070~canonical Wnt signaling pathway,GO:0071557~histone H3-K27 demethylation,GO:0072358~cardiovascular system development,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0035097~histone methyltransferase complex,GO:0044666~MLL3/4 complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0031490~chromatin DNA binding,GO:0032452~histone demethylase activity,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0051213~dioxygenase activity,GO:0071558~histone demethylase activity (H3-K27 specific),	IPR001440:Tetratricopeptide TPR-1,IPR003347:JmjC domain,IPR011990:Tetratricopeptide-like helical,IPR013026:Tetratricopeptide repeat-containing domain,IPR019734:Tetratricopeptide repeat,	hsa05202:Transcriptional misregulation in cancer,	300867~Kabuki syndrome 2,		SM00028:TPR,SM00558:JmjC,	3D-structure,Chromatin regulator,Complete proteome,Dioxygenase,Iron,Mental retardation,Metal-binding,Methylation,Nucleus,Oxidoreductase,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,TPR repeat,Zinc,	chain:Lysine-specific demethylase 6A,compositionally biased region:Poly-Ala,domain:JmjC,modified residue,mutagenesis site,repeat:TPR 1,repeat:TPR 2,repeat:TPR 3,repeat:TPR 4,repeat:TPR 5,repeat:TPR 6,repeat:TPR 7,repeat:TPR 8,sequence conflict,sequence variant,
KMT2D	lysine methyltransferase 2D(KMT2D)	Homo sapiens			General function prediction only,	GO:0001555~oocyte growth,GO:0006342~chromatin silencing,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0008284~positive regulation of cell proliferation,GO:0033148~positive regulation of intracellular estrogen receptor signaling pathway,GO:0043627~response to estrogen,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048477~oogenesis,GO:0051568~histone H3-K4 methylation,GO:1904837~beta-catenin-TCF complex assembly,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0035097~histone methyltransferase complex,GO:0044666~MLL3/4 complex,	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0008168~methyltransferase activity,GO:0008270~zinc ion binding,GO:0018024~histone-lysine N-methyltransferase activity,GO:0042800~histone methyltransferase activity (H3-K4 specific),GO:0044212~transcription regulatory region DNA binding,	IPR001214:SET domain,IPR001841:Zinc finger, RING-type,IPR001965:Zinc finger, PHD-type,IPR003616:Post-SET domain,IPR003888:FY-rich, N-terminal,IPR003889:FY-rich, C-terminal,IPR009071:High mobility group (HMG) box domain,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR019787:Zinc finger, PHD-finger,	hsa00310:Lysine degradation,	147920~Kabuki syndrome 1,		SM00184:RING,SM00249:PHD,SM00317:SET,SM00398:HMG,SM00508:PostSET,SM00541:FYRN,SM00542:FYRC,	3D-structure,Acetylation,Alternative splicing,Chromatin regulator,Coiled coil,Complete proteome,Disease mutation,Isopeptide bond,Mental retardation,Metal-binding,Methylation,Methyltransferase,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,S-adenosyl-L-methionine,Transcription,Transcription regulation,Transferase,Ubl conjugation,Zinc,Zinc-finger,	binding site:S-adenosyl-L-methionine,chain:Histone-lysine N-methyltransferase MLL2,compositionally biased region:Arg-rich,compositionally biased region:Cys-rich,compositionally biased region:Gln-rich,compositionally biased region:Pro-rich,domain:Post-SET,domain:SET,metal ion-binding site:Zinc,modified residue,region of interest:15 X 5 AA repeats of S/P-P-P-E/P-E/A,region of interest:S-adenosyl-L-methionine binding,repeat:1,repeat:10,repeat:11,repeat:12,repeat:13,repeat:14,repeat:15,repeat:2,repeat:3,repeat:4,repeat:5,repeat:6,repeat:7,repeat:8,repeat:9,sequence variant,short sequence motif:LXXLL motif 1,short sequence motif:LXXLL motif 2,short sequence motif:LXXLL motif 3,short sequence motif:LXXLL motif 4,short sequence motif:LXXLL motif 5,short sequence motif:LXXLL motif 6,splice variant,zinc finger region:PHD-type 1,zinc finger region:PHD-type 2,zinc finger region:PHD-type 3,zinc finger region:PHD-type 4,zinc finger region:PHD-type 5,zinc finger region:RING-type,
HLA-A	major histocompatibility complex, class I, A(HLA-A)	Homo sapiens	70.Signal_peptides_(MHC)_class_I_molecules,	h_ctlPathway:CTL mediated immune response against target cells ,h_mhcPathway:Antigen Processing and Presentation,h_nkcellsPathway:Ras-Independent pathway in NK cell-mediated cytotoxicity,		GO:0001916~positive regulation of T cell mediated cytotoxicity,GO:0002474~antigen processing and presentation of peptide antigen via MHC class I,GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent,GO:0002486~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent,GO:0002726~positive regulation of T cell cytokine production,GO:0006955~immune response,GO:0016032~viral process,GO:0016045~detection of bacterium,GO:0019731~antibacterial humoral response,GO:0019882~antigen processing and presentation,GO:0019885~antigen processing and presentation of endogenous peptide antigen via MHC class I,GO:0032729~positive regulation of interferon-gamma production,GO:0042270~protection from natural killer cell mediated cytotoxicity,GO:0050690~regulation of defense response to virus by virus,GO:0050776~regulation of immune response,GO:0050830~defense response to Gram-positive bacterium,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:2000566~positive regulation of CD8-positive, alpha-beta T cell proliferation,GO:2000568~positive regulation of memory T cell activation,GO:2001187~positive regulation of CD8-positive, alpha-beta T cell activation,	GO:0000139~Golgi membrane,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005797~Golgi medial cisterna,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0012507~ER to Golgi transport vesicle membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030670~phagocytic vesicle membrane,GO:0031901~early endosome membrane,GO:0042612~MHC class I protein complex,GO:0042613~MHC class II protein complex,GO:0070062~extracellular exosome,GO:0070971~endoplasmic reticulum exit site,GO:0071556~integral component of lumenal side of endoplasmic reticulum membrane,	GO:0005102~receptor binding,GO:0005515~protein binding,GO:0030881~beta-2-microglobulin binding,GO:0042605~peptide antigen binding,GO:0042608~T cell receptor binding,GO:0044822~poly(A) RNA binding,GO:0046977~TAP binding,	IPR000353:MHC class II, beta chain, N-terminal,IPR001039:MHC class I, alpha chain, alpha1/alpha2,IPR003006:Immunoglobulin/major histocompatibility complex, conserved site,IPR003597:Immunoglobulin C1-set,IPR007110:Immunoglobulin-like domain,IPR010579:MHC class I, alpha chain, C-terminal,IPR011161:MHC class I-like antigen recognition,IPR011162:MHC classes I/II-like antigen recognition protein,IPR013783:Immunoglobulin-like fold,IPR014745:MHC class II, alpha/beta chain, N-terminal,	hsa04144:Endocytosis,hsa04145:Phagosome,hsa04514:Cell adhesion molecules (CAMs),hsa04612:Antigen processing and presentation,hsa04940:Type I diabetes mellitus,hsa05166:HTLV-I infection,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,hsa05203:Viral carcinogenesis,hsa05320:Autoimmune thyroid disease,hsa05330:Allograft rejection,hsa05332:Graft-versus-host disease,hsa05416:Viral myocarditis,	608579~Hypersensitivity syndrome, carbamazepine-induced, susceptibility to,		SM00407:IGc1,SM00921:SM00921,	3D-structure,Alternative splicing,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Host-virus interaction,Immunity,Immunoglobulin domain,Membrane,MHC I,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Signal,Sulfation,Transmembrane,Transmembrane helix,Ubl conjugation,	chain:HLA class I histocompatibility antigen, A-1 alpha chain,chain:HLA class I histocompatibility antigen, A-11 alpha chain,chain:HLA class I histocompatibility antigen, A-2 alpha chain,chain:HLA class I histocompatibility antigen, A-23 alpha chain,chain:HLA class I histocompatibility antigen, A-24 alpha chain,chain:HLA class I histocompatibility antigen, A-25 alpha chain,chain:HLA class I histocompatibility antigen, A-26 alpha chain,chain:HLA class I histocompatibility antigen, A-29 alpha chain,chain:HLA class I histocompatibility antigen, A-3 alpha chain,chain:HLA class I histocompatibility antigen, A-31 alpha chain,chain:HLA class I histocompatibility antigen, A-32 alpha chain,chain:HLA class I histocompatibility antigen, A-34 alpha chain,chain:HLA class I histocompatibility antigen, A-36 alpha chain,chain:HLA class I histocompatibility antigen, A-43 alpha chain,chain:HLA class I histocompatibility antigen, A-66 alpha chain,chain:HLA class I histocompatibility antigen, A-68 alpha chain,chain:HLA class I histocompatibility antigen, A-69 alpha chain,chain:HLA class I histocompatibility antigen, A-80 alpha chain,chain:MHC class I antigen,disulfide bond,domain:Ig-like C1-type,glycosylation site:N-linked (GlcNAc...),helix,modified residue,region of interest:Alpha-1,region of interest:Alpha-2,region of interest:Alpha-3,region of interest:Connecting peptide,sequence conflict,sequence variant,signal peptide,splice variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
MED23	mediator complex subunit 23(MED23)	Homo sapiens				GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006367~transcription initiation from RNA polymerase II promoter,	GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,	GO:0003713~transcription coactivator activity,GO:0005515~protein binding,	IPR021629:Mediator complex, subunit Med23,		614249~Mental retardation, autosomal recessive 18,			Activator,Alternative splicing,Complete proteome,Direct protein sequencing,Disease mutation,Mental retardation,Nucleus,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:Mediator of RNA polymerase II transcription subunit 23,modified residue,sequence conflict,splice variant,
MBD6	methyl-CpG binding domain protein 6(MBD6)	Homo sapiens					GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0010369~chromocenter,	GO:0003677~DNA binding,GO:0003682~chromatin binding,	IPR001739:Methyl-CpG DNA binding,IPR016177:DNA-binding, integrase-type,				SM00391:MBD,	Chromosome,Complete proteome,Nucleus,Proteomics identification,Reference proteome,	chain:Methyl-CpG-binding domain protein 6,compositionally biased region:Pro-rich,domain:MBD,sequence conflict,
MAP2K4	mitogen-activated protein kinase kinase 4(MAP2K4)	Homo sapiens	100.MAPK_signaling_cascades,77.IkBa_Kinase_JNK_MEKK1,	h_at1rPathway:Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling,h_ceramidePathway:Ceramide Signaling Pathway,h_egfPathway:EGF Signaling Pathway,h_fasPathway:FAS signaling pathway ( CD95 ),h_fcer1Pathway:Fc Epsilon Receptor I Signaling in Mast Cells,h_gleevecPathway:Inhibition of Cellular Proliferation by Gleevec,h_keratinocytePathway:Keratinocyte Differentiation,h_mapkPathway:MAPKinase Signaling Pathway,h_p38mapkPathway:p38 MAPK Signaling Pathway ,h_pdgfPathway:PDGF Signaling Pathway,h_pyk2Pathway:Links between Pyk2 and Map Kinases,h_stressPathway:TNF/Stress Related Signaling,h_tcrPathway:T Cell Receptor Signaling Pathway,h_tnfr1Pathway:TNFR1 Signaling Pathway,h_tollPathway:Toll-Like Receptor Pathway,		GO:0006915~apoptotic process,GO:0007165~signal transduction,GO:0007254~JNK cascade,GO:0007257~activation of JUN kinase activity,GO:0009611~response to wounding,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0034393~positive regulation of smooth muscle cell apoptotic process,GO:0035897~proteolysis in other organism,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043525~positive regulation of neuron apoptotic process,GO:0045740~positive regulation of DNA replication,GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process,GO:0061049~cell growth involved in cardiac muscle cell development,GO:0071260~cellular response to mechanical stimulus,GO:0072709~cellular response to sorbitol,GO:2000672~negative regulation of motor neuron apoptotic process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0030424~axon,GO:0032839~dendrite cytoplasm,GO:0043204~perikaryon,	GO:0004672~protein kinase activity,GO:0004702~receptor signaling protein serine/threonine kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008545~JUN kinase kinase activity,GO:0031435~mitogen-activated protein kinase kinase kinase binding,	IPR000719:Protein kinase, catalytic domain,IPR008271:Serine/threonine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR017441:Protein kinase, ATP binding site,	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04668:TNF signaling pathway,hsa04912:GnRH signaling pathway,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05142:Chagas disease (American trypanosomiasis),hsa05161:Hepatitis B,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,			SM00220:S_TKc,	3D-structure,Acetylation,Alternative splicing,Apoptosis,ATP-binding,Complete proteome,Cytoplasm,Kinase,Methylation,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Serine/threonine-protein kinase,Stress response,Transferase,Tyrosine-protein kinase,	active site:Proton acceptor,binding site:ATP,chain:Dual specificity mitogen-activated protein kinase kinase 4,compositionally biased region:Gly/Ser-rich,domain:Protein kinase,modified residue,nucleotide phosphate-binding region:ATP,sequence variant,site:Cleavage; by anthrax lethal factor,
MAP3K1	mitogen-activated protein kinase kinase kinase 1(MAP3K1)	Homo sapiens	100.MAPK_signaling_cascades,102.Cholesterol_Stress_Response,158.14-3-3_signal_transduction,159.14-3-3_Apoptosis,68.Mitogen_signaling_in_growth_control,77.IkBa_Kinase_JNK_MEKK1,	h_41BBPathway:The 4-1BB-dependent immune response,h_at1rPathway:Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling,h_bcrPathway:BCR Signaling Pathway,h_cd40Pathway:CD40L Signaling Pathway,h_ceramidePathway:Ceramide Signaling Pathway,h_egfPathway:EGF Signaling Pathway,h_egfr_smrtePathway:Map Kinase Inactivation of SMRT Corepressor,h_fasPathway:FAS signaling pathway ( CD95 ),h_fcer1Pathway:Fc Epsilon Receptor I Signaling in Mast Cells,h_fmlpPathway:fMLP induced chemokine gene expression in HMC-1 cells,h_gleevecPathway:Inhibition of Cellular Proliferation by Gleevec,h_hcmvPathway:Human Cytomegalovirus and Map Kinase Pathways,h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF,h_il1rPathway:Signal transduction through IL1R,h_keratinocytePathway:Keratinocyte Differentiation,h_malPathway:Role of MAL in Rho-Mediated Activation of SRF,h_mapkPathway:MAPKinase Signaling Pathway,h_nfkbPathway:NF-kB Signaling Pathway,h_p38mapkPathway:p38 MAPK Signaling Pathway ,h_pdgfPathway:PDGF Signaling Pathway,h_pyk2Pathway:Links between Pyk2 and Map Kinases,h_rac1Pathway:Rac 1 cell motility signaling pathway,h_stressPathway:TNF/Stress Related Signaling,h_tcrPathway:T Cell Receptor Signaling Pathway,h_tnfr1Pathway:TNFR1 Signaling Pathway,h_tnfr2Pathway:TNFR2 Signaling Pathway,h_tollPathway:Toll-Like Receptor Pathway,h_vipPathway:Neuropeptides VIP and PACAP inhibit the apoptosis of activated T cells,	General function prediction only,	GO:0000165~MAPK cascade,GO:0000186~activation of MAPKK activity,GO:0002755~MyD88-dependent toll-like receptor signaling pathway,GO:0006468~protein phosphorylation,GO:0006915~apoptotic process,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0071260~cellular response to mechanical stimulus,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004702~receptor signaling protein serine/threonine kinase activity,GO:0004709~MAP kinase kinase kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008270~zinc ion binding,GO:0019901~protein kinase binding,	IPR000719:Protein kinase, catalytic domain,IPR001841:Zinc finger, RING-type,IPR007527:Zinc finger, SWIM-type,IPR008271:Serine/threonine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR016024:Armadillo-type fold,IPR017441:Protein kinase, ATP binding site,	hsa04010:MAPK signaling pathway,hsa04120:Ubiquitin mediated proteolysis,hsa04622:RIG-I-like receptor signaling pathway,hsa04722:Neurotrophin signaling pathway,hsa04912:GnRH signaling pathway,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,	613762~46XY sex reversal 6,		SM00220:S_TKc,	Acetylation,ATP-binding,Complete proteome,Kinase,Magnesium,Metal-binding,Nucleotide-binding,Phosphoprotein,Polymorphism,Reference proteome,Serine/threonine-protein kinase,Transferase,Zinc,Zinc-finger,	active site:Proton acceptor,binding site:ATP,chain:Mitogen-activated protein kinase kinase kinase 1,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Gly,compositionally biased region:Poly-Ile,compositionally biased region:Poly-Ser,compositionally biased region:Poly-Thr,domain:Protein kinase,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,zinc finger region:RING-type,zinc finger region:SWIM-type,
